inventoryId,originKind,currentId,sourceFile,sourcePath,course,topic,topicIndex,block,community,provenance,statement,answer,solution,difficulty,modalities,reviewIndicators,mathFormat,options,correctIndex,accessible,accessibleVia,issues
"fase0-000011","source-record","ccss2-ind-11","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.10","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ e^(3x) dx.","e^(3x)/3 + C","Como la derivada de 3x es 3, compensamos dividiendo entre 3. Resultado final: e^(3x)/3+C.","sin-determinar","","","Unicode matemático","e^(3x)/3 + C | 3e^(3x) + C | e^(3x) + C | xe^(3x) + C","0","false","",""
"fase0-000012","source-record","ccss2-ind-12","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.11","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 5e^(2x) dx.","(5/2)e^(2x) + C","La primitiva de e^(2x) es e^(2x)/2. Resultado final: (5/2)e^(2x)+C.","sin-determinar","","","Unicode matemático","(5/2)e^(2x) + C | 10e^(2x) + C | 5e^(2x) + C | (2/5)e^(2x) + C","0","false","",""
"fase0-000013","source-record","ccss2-ind-13","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.12","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 1/x dx, con x≠0.","ln|x| + C","Es la integral inmediata logarítmica. Resultado final: ln|x|+C.","sin-determinar","","","Unicode matemático","ln|x| + C | −1/x² + C | x ln|x| + C | 1/x² + C","0","true","2bach-ccss/6/buildQuestions:exam",""
"fase0-000014","source-record","ccss2-ind-14","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.13","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 1/(x+4) dx.","ln|x+4| + C","El denominador x+4 tiene derivada 1. Resultado final: ln|x+4|+C.","sin-determinar","","","Unicode matemático","ln|x+4| + C | ln|x|+4+C | −1/(x+4)² + C | x/(x+4) + C","0","false","",""
"fase0-000015","source-record","ccss2-ind-15","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.14","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ 3/(3x−2) dx.","ln|3x−2| + C","El numerador es la derivada del denominador. Resultado final: ln|3x−2|+C.","sin-determinar","","","Unicode matemático","ln|3x−2| + C | 3ln|3x−2| + C | ln|x−2| + C | −1/(3x−2)² + C","0","false","",""
"fase0-000016","source-record","ccss2-ind-16","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.15","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ (2eˣ + 3/x) dx.","2eˣ + 3ln|x| + C","Usamos la linealidad y dos primitivas inmediatas. Resultado final: 2eˣ+3ln|x|+C.","sin-determinar","","","Unicode matemático","2eˣ + 3ln|x| + C | 2eˣ + 3/x² + C | e^(2x) + ln|3x| + C | 2xeˣ + 3ln|x| + C","0","false","",""
"fase0-000017","source-record","ccss2-ind-17","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.16","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Simplifica primero y calcula ∫ (x³+x²)/x² dx, con x≠0.","x²/2 + x + C","Simplificamos (x³+x²)/x²=x+1. Después integramos. Resultado final: x²/2+x+C.","sin-determinar","","","Unicode matemático","x²/2 + x + C | x² + x + C | 3x² + 2x + C | ln|x| + x + C","0","true","2bach-ccss/6/buildQuestions:exam",""
"fase0-000018","source-record","ccss2-ind-18","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.17","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Simplifica primero y calcula ∫ (6x²−3x)/x dx, con x≠0.","3x² − 3x + C","Simplificamos (6x²−3x)/x=6x−3. Integramos término a término. Resultado final: 3x²−3x+C.","sin-determinar","","","Unicode matemático","3x² − 3x + C | 6x − 3 + C | 2x³ − 3x²/2 + C | 3x² − 3ln|x| + C","0","false","",""
"fase0-000019","source-record","ccss2-ind-19","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.18","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","¿Cuál de estas funciones es una primitiva de f(x)=4x³−2x?","F(x)=x⁴−x²+7","Derivamos la primera opción: F′(x)=4x³−2x. La constante 7 desaparece. Resultado final: F(x)=x⁴−x²+7.","sin-determinar","","","Unicode matemático","F(x)=x⁴−x²+7 | F(x)=12x²−2 | F(x)=4x⁴−2x² | F(x)=x⁴−2x+7","0","false","",""
"fase0-000020","source-record","ccss2-ind-20","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.19","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Halla la primitiva de f(x)=2x que cumple F(1)=5.","F(x)=x²+4","La familia es F(x)=x²+C. Como F(1)=1+C=5, C=4. Resultado final: F(x)=x²+4.","sin-determinar","","","Unicode matemático","F(x)=x²+4 | F(x)=x²+5 | F(x)=2x²+3 | F(x)=x²−4","0","false","",""
"fase0-000021","source-record","ccss2-ind-21","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.20","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Halla la primitiva de f(x)=3x²+2 que cumple F(0)=−1.","F(x)=x³+2x−1","F(x)=x³+2x+C y F(0)=C=−1. Resultado final: F(x)=x³+2x−1.","sin-determinar","","","Unicode matemático","F(x)=x³+2x−1 | F(x)=x³+2x+1 | F(x)=3x³+2x−1 | F(x)=6x+2","0","false","",""
"fase0-000022","source-record","ccss2-ind-22","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.21","2bach-ccss","Integrales indefinidas","6","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ (7−2x) dx.","7x−x²+C","La primitiva de 7 es 7x y la de −2x es −x². Resultado final: 7x−x²+C.","sin-determinar","","","Unicode matemático","7x−x²+C | 7−x²+C | 7x−2x²+C | −2+C","0","true","2bach-ccss/6/buildQuestions:apprentice | 2bach-ccss/6/buildQuestions:master",""
"fase0-000023","source-record","ccss2-ind-23","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.22","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ x^(3/2) dx.","(2/5)x^(5/2)+C","Aumentamos 3/2 en una unidad: 5/2, y dividimos por 5/2. Resultado final: (2/5)x^(5/2)+C.","sin-determinar","","","Unicode matemático","(2/5)x^(5/2)+C | (3/2)x^(1/2)+C | (5/2)x^(5/2)+C | x^(5/2)+C","0","false","",""
"fase0-000024","source-record","ccss2-ind-24","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.indefinite.23","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫ (2x³−6/x+eˣ) dx.","x⁴/2−6ln|x|+eˣ+C","Integramos cada término mediante primitivas inmediatas. Resultado final: x⁴/2−6ln|x|+eˣ+C.","sin-determinar","","","Unicode matemático","x⁴/2−6ln|x|+eˣ+C | 6x²+6/x²+eˣ+C | 2x⁴−6ln|x|+xeˣ+C | x⁴/2−6/x²+eˣ+C","0","false","",""
"fase0-000025","source-record","ccss2-def-01","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.0","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₀² 3x² dx.","8","Una primitiva es x³. Aplicamos Barrow: 2³−0³=8. Resultado final: 8.","sin-determinar","","","Unicode matemático","8 | 4 | 12 | 6","0","false","",""
"fase0-000026","source-record","ccss2-def-02","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.1","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₁³ 2x dx.","8","Una primitiva es x². Aplicamos Barrow: 3²−1²=8. Resultado final: 8.","sin-determinar","","","Unicode matemático","8 | 4 | 6 | 10","0","false","",""
"fase0-000027","source-record","ccss2-def-03","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.2","2bach-ccss","Integrales definidas","7","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₀⁴ (x+1) dx.","12","Una primitiva es x²/2+x. Su valor entre 0 y 4 es 8+4=12. Resultado final: 12.","sin-determinar","","","Unicode matemático","12 | 10 | 8 | 16","0","true","2bach-ccss/7/buildQuestions:apprentice | 2bach-ccss/7/buildQuestions:master",""
"fase0-000028","source-record","ccss2-def-04","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.3","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₀¹ eˣ dx.","e−1","Una primitiva de eˣ es eˣ. Aplicamos Barrow: e¹−e⁰=e−1. Resultado final: e−1.","sin-determinar","","","Unicode matemático","e−1 | e | 1 | e+1","0","false","",""
"fase0-000029","source-record","ccss2-def-05","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.4","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₁ᵉ 1/x dx.","1","Una primitiva es ln|x|. Entonces ln e−ln 1=1−0. Resultado final: 1.","sin-determinar","","","Unicode matemático","1 | e−1 | ln(e−1) | e","0","false","",""
"fase0-000030","source-record","ccss2-def-06","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.5","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula el área limitada por y=2x, el eje X y las rectas x=0 y x=3.","9","Como 2x≥0 en [0,3], el área es ∫₀³2x dx=[x²]₀³=9. Resultado final: 9 unidades cuadradas.","sin-determinar","","","Unicode matemático","9 | 6 | 3 | 12","0","false","",""
"fase0-000031","source-record","ccss2-def-07","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.6","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula el área bajo y=4−x² entre x=0 y x=2.","16/3","La función es no negativa en [0,2]. ∫₀²(4−x²)dx=[4x−x³/3]₀²=8−8/3. Resultado final: 16/3.","sin-determinar","","","Unicode matemático","16/3 | 8/3 | 4 | 20/3","0","false","",""
"fase0-000032","source-record","ccss2-def-08","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.7","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","El valor de ∫₀² (3x+1) dx es...","8","Una primitiva es 3x²/2+x. Al evaluar en 2 y 0 obtenemos 6+2. Resultado final: 8.","sin-determinar","","","Unicode matemático","8 | 7 | 6 | 10","0","false","",""
"fase0-000033","source-record","ccss2-def-09","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.8","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₋₂² x³ dx.","0","x³ es impar y el intervalo es simétrico respecto de 0; las áreas con signo se cancelan. Resultado final: 0.","sin-determinar","","","Unicode matemático","0 | 8 | 16 | −8","0","false","",""
"fase0-000034","source-record","ccss2-def-10","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.9","2bach-ccss","Integrales definidas","7","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Calcula ∫₂⁵ 4 dx.","12","Es el área de un rectángulo de base 5−2=3 y altura 4. Resultado final: 12.","sin-determinar","","","Unicode matemático","12 | 20 | 7 | 4","0","true","2bach-ccss/7/buildQuestions:apprentice | 2bach-ccss/7/buildQuestions:master",""
"fase0-000035","source-record","ccss2-def-11","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.10","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Si ∫₁⁴ f(x)dx=7, ¿cuánto vale ∫₄¹ f(x)dx?","−7","Al intercambiar los límites de integración cambia el signo. Resultado final: −7.","sin-determinar","","","Unicode matemático","−7 | 7 | 0 | 14","0","false","",""
"fase0-000036","source-record","ccss2-def-12","data/ccss-ii-integrals-practice.js","window.MargaritaTopicPracticeBanks.definite.11","2bach-ccss","sin-determinar","","sin-determinar","no-aplica-o-sin-determinar","Banco didáctico · CCSS II","Si ∫₀² f(x)dx=3 y ∫₂⁵ f(x)dx=4, calcula ∫₀⁵ f(x)dx.","7","Por aditividad de intervalos: ∫₀⁵f=∫₀²f+∫₂⁵f=3+4. Resultado final: 7.","sin-determinar","","","Unicode matemático","7 | 1 | 12 | −1","0","false","",""
"fase0-000037","source-record","1eso-original-context-01","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.0","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 1","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 1. La Panadería: Cada barra de pan cuesta 0,75 €. Completa el coste para 1, 2, 3, 4, 5 barras.","x: barras; y: coste; 0,75, 1,50, 2,25, 3,00, 3,75; y=0,75x","La cantidad de barras se elige y el coste depende de ella. Multiplicamos cada valor de x por 0,75. Resultado: y=0,75x.","easy","practica:true | examen:false","solutionNeedsReview:false","Unicode matemático","x: barras; y: coste; 0,75, 1,50, 2,25, 3,00, 3,75; y=0,75x | x: coste; y: barras; 1, 2, 3, 4, 5; y=x+0,75 | x: barras; y: coste; 1,75, 2,75, 3,75, 4,75, 5,75; y=x+0,75 | x: barras; y: coste; 0,75, 3,00, 6,75, 12,00, 18,75; y=0,75x²","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice",""
"fase0-000038","source-record","1eso-original-context-02","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.1","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 2","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 2. El Reparto: Un mensajero cobra un fijo de 3 € por envío más 0,50 € por cada kilómetro recorrido. Calcula el precio para 2, 5, 10, 20 km.","x: kilómetros; y: precio; 4, 5,50, 8, 13; y=3+0,50x","El precio incluye 3 € fijos y 0,50 € por kilómetro. Sustituyendo x=2,5,10,20 se obtiene 4; 5,50; 8; 13. Resultado: y=3+0,50x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: kilómetros; y: precio; 4, 5,50, 8, 13; y=3+0,50x | x: kilómetros; y: precio; 1, 2,50, 5, 10; y=0,50x | x: precio; y: kilómetros; 4, 5,50, 8, 13; y=3x+0,50 | x: kilómetros; y: precio; 7, 16, 31, 61; y=3x+1","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice",""
"fase0-000039","source-record","1eso-original-context-03","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.2","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 3","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 3. El Alquiler de Bicis: Una empresa cobra 2 € por hora de uso de una bicicleta. Calcula el precio para 1, 2, 3, 4 horas.","x: horas; y: precio; 2, 4, 6, 8; y=2x","El precio depende de las horas y es 2 veces su número. Resultado: y=2x.","easy","practica:true | examen:false","solutionNeedsReview:false","Unicode matemático","x: horas; y: precio; 2, 4, 6, 8; y=2x | x: horas; y: precio; 3, 4, 5, 6; y=x+2 | x: precio; y: horas; 2, 4, 6, 8; y=x/2 | x: horas; y: precio; 2, 8, 18, 32; y=2x²","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice",""
"fase0-000040","source-record","1eso-original-context-04","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.3","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 4","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 4. La Hucha: Lucas empieza con 10 € en su hucha y añade 2 € cada semana. Calcula el dinero que tendrá en las semanas 1, 2, 3, 4.","x: semanas; y: dinero; 12, 14, 16, 18; y=10+2x","A los 10 € iniciales se suman 2 € por cada semana. Resultado: y=10+2x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: semanas; y: dinero; 12, 14, 16, 18; y=10+2x | x: semanas; y: dinero; 2, 4, 6, 8; y=2x | x: dinero; y: semanas; 12, 14, 16, 18; y=10x+2 | x: semanas; y: dinero; 11, 12, 13, 14; y=10+x","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice",""
"fase0-000041","source-record","1eso-original-context-05","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.4","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 5","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 5. Telefonía: Una tarifa móvil cuesta 15 € al mes fijos más 0,10 € por cada gigabyte (GB) extra consumido. Tabla para 1, 2, 5, 10 GB extra.","x: GB extra; y: coste; 15,10, 15,20, 15,50, 16; y=15+0,10x","La cuota fija es 15 € y cada GB añade 0,10 €. Resultado: y=15+0,10x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: GB extra; y: coste; 15,10, 15,20, 15,50, 16; y=15+0,10x | x: GB extra; y: coste; 0,10, 0,20, 0,50, 1; y=0,10x | x: coste; y: GB extra; 15,10, 15,20, 15,50, 16; y=15x+0,10 | x: GB extra; y: coste; 15, 30, 75, 150; y=15x","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice","solo-respuesta-final"
"fase0-000042","source-record","1eso-original-context-06","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.5","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 6","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 6. Imprenta: Imprimir una camiseta cuesta 5 € de base más 3 € por cada color utilizado en el diseño. Tabla para 1, 2, 3, 4 colores.","x: colores; y: coste; 8, 11, 14, 17; y=5+3x","Sumamos a los 5 € de base 3 € por color. Resultado: y=5+3x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: colores; y: coste; 8, 11, 14, 17; y=5+3x | x: colores; y: coste; 3, 6, 9, 12; y=3x | x: coste; y: colores; 8, 11, 14, 17; y=5x+3 | x: colores; y: coste; 6, 7, 8, 9; y=5+x","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice","solo-respuesta-final"
"fase0-000043","source-record","1eso-original-context-07","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.6","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 7","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 7. El Huerto Urbano: Una planta de tomates mide 8 cm y crece a un ritmo constante de 1,5 cm por día. Tabla para los días 1, 2, 3, 4, 5.","x: días; y: altura; 9,5, 11, 12,5, 14, 15,5; y=8+1,5x","La altura inicial es 8 cm y cada día aumenta 1,5 cm. Resultado: y=8+1,5x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: días; y: altura; 9,5, 11, 12,5, 14, 15,5; y=8+1,5x | x: días; y: altura; 1,5, 3, 4,5, 6, 7,5; y=1,5x | x: altura; y: días; 9,5, 11, 12,5, 14, 15,5; y=8x+1,5 | x: días; y: altura; 9, 10, 11, 12, 13; y=8+x","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice | 1eso/9/buildQuestions:apprentice",""
"fase0-000044","source-record","1eso-original-context-08","data/eso1-original-topic9-10-review2.js","window.MargaritaEsoOriginalPractice.review2.7","1eso","1eso:funciones","9","sin-determinar","no-aplica-o-sin-determinar","Material original · p. 1, ejercicio 8","En cada caso, identifica la variable independiente (x), la variable dependiente (y), completa la tabla y propón la expresión matemática de la función. 8. El Depósito: Un depósito de agua contiene 500 litros y se vacía a razón de 20 litros por minuto. Tabla para los minutos 1, 2, 5, 10.","x: minutos; y: litros; 480, 460, 400, 300; y=500−20x","Parte de 500 L y pierde 20 L cada minuto. Resultado: y=500−20x.","easy","practica:true | examen:false","solutionNeedsReview:false","texto plano/ASCII","x: minutos; y: litros; 480, 460, 400, 300; y=500−20x | x: minutos; y: litros; 520, 540, 600, 700; y=500+20x | x: litros; y: minutos; 480, 460, 400, 300; y=20x−500 | x: minutos; y: litros; 20, 40, 100, 200; y=20x","0","true","1eso/9/MargaritaEsoOriginalPractice.build:apprentice","solo-respuesta-final"
